spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,tempo,rms,track_id
7232.606183027999,0.05488576052828667,3747.7486650187907,3230.6626684891985,20.715730419056257,4.7992215,0.50222254,148.02631578947367,0.2583539,0a0ojBktF5aWS7Cdjf4rTA
5482.399462468946,0.08501070140593577,2795.1340889864923,3072.6377130233345,21.097844494944344,1.6516699,0.43588403,119.68085106382979,0.18922587,0A496x5Uwuivwvive8jEsl
4793.587328350214,0.03690011500383473,2914.2641455537982,2199.063650145747,21.79885359452411,1.7461919,0.36296842,80.35714285714286,0.28852352,0a6zRnrjmaOcqsEIFkXIhw
5135.488823214141,0.04753138098783472,2984.3682335608155,2423.1757040521675,20.30556994437117,-2.1754897,0.49273458,102.27272727272727,0.08226354,0AAk1eycDCCsCe3AP7NKhq
3870.04965021832,0.04979313326036434,2770.0253943699795,2120.0702380949288,21.259360225362443,-2.2326646,0.50623006,100.44642857142857,0.12179576,0adVktNVJXPZfhQe6B1NO5
7520.019400308393,0.07424629138453115,3671.4041864202145,3498.3024960200787,21.53423660676689,5.044619,0.49812457,133.92857142857142,0.2245121,0ADZ5dmXhlfzjMw6lefoPl
5553.766314411437,0.05100656869723638,3379.7661668873216,2680.741758988288,21.478144859177963,-1.2177495,0.46037912,130.8139534883721,0.20135356,0afpxm7xkeXwj7KYzmS5Uc
4905.014151674938,0.04111531407240833,2847.542714559452,2357.4710446956547,21.184015462534123,3.9170015,0.49430415,144.23076923076923,0.2499477,0AJrAnMeFDG04VHuuvrC9Y
6817.704133064516,0.06476758924335864,3508.9716528761483,3183.778088427798,20.586244108505614,5.5688076,0.51096475,89.28571428571429,0.26131493,0AOmbw8AwDnwXhHC3OhdVB
4968.431235915075,0.06702059287030997,2534.0273474839364,2577.8596398469163,20.727735823176356,1.0187194,0.5215396,108.17307692307692,0.1544872,0aQAxk0VUa03yons7PZjS1
4806.33836606743,0.04813967061648327,2926.097737086558,2435.6695098384466,21.786268766568202,1.1507512,0.48640397,93.75,0.24751112,0Aqi7ArnBrGblW5T6p2jmD
5320.883938628684,0.03242695989539806,3332.9610018032536,2270.278476926789,23.55527798346585,2.1112428,0.4293487,80.35714285714286,0.1910386,0aQLKZl2mXdJHpxDteJdNo
4324.33910882065,0.03420615586133622,2801.606110771212,2054.121534548387,20.89695858580778,1.6136295,0.48456222,112.5,0.1609985,0aRBk8abP2vA3wl7GV74SA
4881.504100427453,0.032205573512019116,3142.9025167106543,2178.380005464351,22.1924652053091,-0.57281184,0.42075142,144.23076923076923,0.18089883,0arPxj5WufzbjEy1uPn7GP
9050.036991804893,0.08201875276861742,4196.469267427575,4290.078970794818,21.204976182312045,4.2787323,0.55384547,152.02702702702703,0.25498915,0AUyNF6iFxMNQsNx2nhtrw
3795.711376368402,0.030532773391324458,2625.5223597137656,1818.0780976084422,20.575925887168072,1.9689603,0.41898307,127.8409090909091,0.20953268,0avtLG17MT8kDf9xc67Niv
5379.303016341575,0.035906462016439426,3277.9880694718763,2412.746841273804,21.897949314101762,0.6199191,0.48974875,119.68085106382979,0.12385598,0ax8NVafraj3HnfCwvnHK4
6933.2604730257,0.053229184617560606,3746.943040992624,3029.9878899197397,22.352993872223706,3.7559943,0.45229724,81.52173913043478,0.21446119,0b0x5fdpSjvJ8LiYSPnWoF
8018.182045636509,0.06307215042867627,4034.7456019229903,3515.386754952293,21.2984577051411,2.796617,0.5108689,85.22727272727273,0.2124351,0b11D9D0hMOYCIMN3OKreM
8253.828675528508,0.07594583413713529,4058.9153343694966,3652.483998411698,22.594709948716716,-2.6372209,0.39654145,160.71428571428572,0.15060201,0B3g35bVxJ42Y0W0I5WBIU
5469.16848437405,0.04817317439160637,3069.312727793374,2552.5607955690484,21.268860689909243,1.3693346,0.41157117,140.625,0.24326956,0b8Sf6sJqXOr9cP6tQ7QQx
8300.833407654673,0.09808003094422077,3905.142508566361,4023.103155024226,20.250933476683635,4.097455,0.5349734,144.23076923076923,0.19706653,0BaVcB3Mn8QgGUdEi2yqCb
